01/04/2025 13:39:31 - 0081:	 - train_loss: 0.343354:	 - test_loss: 0.301867:	 mIoU 0.7149
01/04/2025 13:39:50 - 0082:	 - train_loss: 0.353908:	 - test_loss: 0.287225:	 mIoU 0.7366
01/04/2025 13:40:10 - 0083:	 - train_loss: 0.343565:	 - test_loss: 0.270707:	 mIoU 0.7434
01/04/2025 13:40:29 - 0084:	 - train_loss: 0.350444:	 - test_loss: 0.251233:	 mIoU 0.7626
01/04/2025 13:40:48 - 0085:	 - train_loss: 0.331058:	 - test_loss: 0.251738:	 mIoU 0.7729
01/04/2025 13:41:08 - 0086:	 - train_loss: 0.323897:	 - test_loss: 0.249183:	 mIoU 0.7728
01/04/2025 13:41:27 - 0087:	 - train_loss: 0.344968:	 - test_loss: 0.244388:	 mIoU 0.7710
01/04/2025 13:41:46 - 0088:	 - train_loss: 0.329963:	 - test_loss: 0.263260:	 mIoU 0.7511
01/04/2025 13:42:06 - 0089:	 - train_loss: 0.317942:	 - test_loss: 0.247090:	 mIoU 0.7712
01/04/2025 13:42:25 - 0090:	 - train_loss: 0.324947:	 - test_loss: 0.263266:	 mIoU 0.7557
01/04/2025 13:42:45 - 0091:	 - train_loss: 0.318448:	 - test_loss: 0.257649:	 mIoU 0.7646
01/04/2025 13:43:04 - 0092:	 - train_loss: 0.320981:	 - test_loss: 0.258950:	 mIoU 0.7569
01/04/2025 13:43:23 - 0093:	 - train_loss: 0.313584:	 - test_loss: 0.257670:	 mIoU 0.7642
01/04/2025 13:43:43 - 0094:	 - train_loss: 0.311575:	 - test_loss: 0.263451:	 mIoU 0.7593
01/04/2025 13:44:02 - 0095:	 - train_loss: 0.314502:	 - test_loss: 0.253666:	 mIoU 0.7636
01/04/2025 13:44:21 - 0096:	 - train_loss: 0.321990:	 - test_loss: 0.258221:	 mIoU 0.7644
01/04/2025 13:44:41 - 0097:	 - train_loss: 0.332305:	 - test_loss: 0.257639:	 mIoU 0.7641
01/04/2025 13:45:00 - 0098:	 - train_loss: 0.321615:	 - test_loss: 0.247847:	 mIoU 0.7728
01/04/2025 13:45:20 - 0099:	 - train_loss: 0.305649:	 - test_loss: 0.234672:	 mIoU 0.7854
01/04/2025 13:45:39 - 0100:	 - train_loss: 0.310905:	 - test_loss: 0.249070:	 mIoU 0.7674
